Photo,UNIX,Date,Time,Io,Io_aligned,Europa,Europa_aligned,Ganymede,Ganymede_aligned,Callisto,Callisto_aligned
1,1286335254,06.10.2010,3:20:54,344.557,45.803,271.129,-27.625,,,533.38,234.626
2,1286335393,06.10.2010,3:23:13,344.14,45.386,270.938,-27.816,,,533.024,234.27
3,1286339042,06.10.2010,4:24:02,340.198,41.444,277.521,-21.233,,,533.468,234.714
4,1286341981,06.10.2010,5:13:01,335.921,37.167,282.817,-15.937,282.393,-16.361,533.236,234.482
5,1286342160,06.10.2010,5:16:00,335.598,36.844,282.571,-16.183,282.236,-16.518,533.197,234.443
6,1286345191,06.10.2010,6:06:31,335.522,36.768,282.849,-15.905,282.129,-16.625,533.004,234.25
7,1286345311,06.10.2010,6:08:31,330.781,32.027,288.03,-10.724,278.198,-20.556,533.361,234.607
8,1286348690,06.10.2010,7:04:50,325.071,26.317,,,272.874,-25.88,533.709,234.955
9,1286427002,07.10.2010,4:50:02,276.919,-21.835,381.921,83.167,187.423,-111.331,514.312,215.558
10,1286432162,07.10.2010,6:16:02,287.593,-11.161,381.309,82.555,183.659,-115.095,511.952,213.198
11,1286606436,09.10.2010,6:40:36,331.154,32.4,226.022,-72.732,255.767,-42.987,384.97,86.216
12,1286687219,10.10.2010,5:06:59,259.504,-39.25,346.223,47.469,361.5,62.746,303.777,5.023
13,1286772808,11.10.2010,4:53:28,347.927,49.173,355.991,57.237,428.341,129.587,217.587,-81.167
